id,url,subject,description,Category,,,,,,
openstack%2Fglance~master~I202010c7695fcf4b8e81d6dd4eb3ae42af08d958,https://review.opendev.org/87020,Refactoring test on test_api,Refactoring test on test_api  Addition of function get_request_object_data() to remove the repeating lines in many methods. The refactoring is partially done because it affects more than 500 lines of code (mostly deletion of code lines). There are still other aspects remaining to refactor it more.  This bug is an action item to track the review comment for  https://review.openstack.org/#/c/64079/4 raised by Steve Kowalik.  Change-Id: I202010c7695fcf4b8e81d6dd4eb3ae42af08d958 Partial-bug: #1264639,objective,,,,,,
openstack%2Fglance~master~I202010c7695fcf4b8e81d6dd4eb3ae42af08d958,https://review.opendev.org/87020,Refactoring test on test_api,Refactoring test on test_api  Addition of function get_request_object_data() to remove the repeating lines in many methods. The refactoring is partially done because it affects more than 500 lines of code (mostly deletion of code lines). There are still other aspects remaining to refactor it more.  This bug is an action item to track the review comment for  https://review.openstack.org/#/c/64079/4 raised by Steve Kowalik.  Change-Id: I202010c7695fcf4b8e81d6dd4eb3ae42af08d958 Partial-bug: #1264639,quality,,,,,,
openstack%2Fcinder~stable%2Fkilo~I8aa9f756efb0b4fc4a3a0ea960c6f2d8e20ec18a,https://review.opendev.org/187663,Targets test refactoring,"Targets test refactoring  The unit tests for iser inherit from the tgtAdm, it means that any time run tests for iser, tgtAdm tests run too. This chache add TargetFixture to tests, it allows to decouple tests and delete duplicated code.  Other changes:  -  deleted  __init__ in test's classes; __init__ may work as a replacement for setUp, but  setUp should be used instead because it is part of the protocol for writing tests. It also has a counterpart, tearDown, which __init__ does no;  - replaced stubs to mock.  Change-Id: I8aa9f756efb0b4fc4a3a0ea960c6f2d8e20ec18a Closes-Bug: #1420009 (cherry picked from commit bdd0ff6c685855a47034cdfa0cdfa50a4d153a1d)",testing,,,,,,
openstack%2Fcinder~stable%2Fkilo~I8aa9f756efb0b4fc4a3a0ea960c6f2d8e20ec18a,https://review.opendev.org/187663,Targets test refactoring,"Targets test refactoring  The unit tests for iser inherit from the tgtAdm, it means that any time run tests for iser, tgtAdm tests run too. This chache add TargetFixture to tests, it allows to decouple tests and delete duplicated code.  Other changes:  -  deleted  __init__ in test's classes; __init__ may work as a replacement for setUp, but  setUp should be used instead because it is part of the protocol for writing tests. It also has a counterpart, tearDown, which __init__ does no;  - replaced stubs to mock.  Change-Id: I8aa9f756efb0b4fc4a3a0ea960c6f2d8e20ec18a Closes-Bug: #1420009 (cherry picked from commit bdd0ff6c685855a47034cdfa0cdfa50a4d153a1d)",quality,,,,,,
openstack%2Fcinder~stable%2Fkilo~I8aa9f756efb0b4fc4a3a0ea960c6f2d8e20ec18a,https://review.opendev.org/187663,Targets test refactoring,"Targets test refactoring  The unit tests for iser inherit from the tgtAdm, it means that any time run tests for iser, tgtAdm tests run too. This chache add TargetFixture to tests, it allows to decouple tests and delete duplicated code.  Other changes:  -  deleted  __init__ in test's classes; __init__ may work as a replacement for setUp, but  setUp should be used instead because it is part of the protocol for writing tests. It also has a counterpart, tearDown, which __init__ does no;  - replaced stubs to mock.  Change-Id: I8aa9f756efb0b4fc4a3a0ea960c6f2d8e20ec18a Closes-Bug: #1420009 (cherry picked from commit bdd0ff6c685855a47034cdfa0cdfa50a4d153a1d)",objective,,,,,,
openstack%2Fnova~master~I94ecc5e2fe6808c6bfbe5eb144ac66359b997e3d,https://review.opendev.org/163363,refactored test in xenapi/test_vm_utils to pass wiith random PYTHOHASHSEED,refactored test in xenapi/test_vm_utils to pass wiith random PYTHOHASHSEED  added ordering before assertion Partial-Bug: #1348818  Change-Id: I94ecc5e2fe6808c6bfbe5eb144ac66359b997e3d,testing,,,,,,
openstack%2Fnova~master~I94ecc5e2fe6808c6bfbe5eb144ac66359b997e3d,https://review.opendev.org/163363,refactored test in xenapi/test_vm_utils to pass wiith random PYTHOHASHSEED,refactored test in xenapi/test_vm_utils to pass wiith random PYTHOHASHSEED  added ordering before assertion Partial-Bug: #1348818  Change-Id: I94ecc5e2fe6808c6bfbe5eb144ac66359b997e3d,objective,,,,,,
openstack%2Fnova~master~I7666e5189f7876feed7f7524ae10949e1d14fbde,https://review.opendev.org/163355,refactored test in test_cloud to pass with random PYTHONHASHSEED,refactored test in test_cloud to pass with random PYTHONHASHSEED  sort lists in dictionaries before assertions Partial-Bug: #1348818  Change-Id: I7666e5189f7876feed7f7524ae10949e1d14fbde,testing,,,,,,
openstack%2Fnova~master~I7666e5189f7876feed7f7524ae10949e1d14fbde,https://review.opendev.org/163355,refactored test in test_cloud to pass with random PYTHONHASHSEED,refactored test in test_cloud to pass with random PYTHONHASHSEED  sort lists in dictionaries before assertions Partial-Bug: #1348818  Change-Id: I7666e5189f7876feed7f7524ae10949e1d14fbde,objective,,,,,,
openstack%2Fnova~master~I63a4f9c54d442167f929261cebce9baf23ad708a,https://review.opendev.org/161314,refactored test in test_trusted_filters to pass with random PYTHONHASHSEED,refactored test in test_trusted_filters to pass with random PYTHONHASHSEED  changed assertion of trusted_filter  mock _request method arguments  Partial-Bug: #1348818  Change-Id: I63a4f9c54d442167f929261cebce9baf23ad708a,testing,,,,,,
openstack%2Fnova~master~I63a4f9c54d442167f929261cebce9baf23ad708a,https://review.opendev.org/161314,refactored test in test_trusted_filters to pass with random PYTHONHASHSEED,refactored test in test_trusted_filters to pass with random PYTHONHASHSEED  changed assertion of trusted_filter  mock _request method arguments  Partial-Bug: #1348818  Change-Id: I63a4f9c54d442167f929261cebce9baf23ad708a,objective,,,,,,
openstack%2Fkeystone~master~Ibbfeb1c035eccf25e4e62577ae7887822cd58254,https://review.opendev.org/162196,Refactor Fernet: drop timestamps and move payload version into payload,"Refactor Fernet: drop timestamps and move payload version into payload  This is a squashed commit consisting of the following changes:  - https://review.openstack.org/#/c/161838/ - https://review.openstack.org/#/c/161855/ - https://review.openstack.org/#/c/161876/ - https://review.openstack.org/#/c/161774/ - https://review.openstack.org/#/c/161897/ - https://review.openstack.org/#/c/162031/  Net summary of changes:  - Remove token formatters dependency on 'token_data', the v3 token data   helper, and the trust_api. The calling module already has to interface   with all these modules and understand how token_data is composed, so   there's no reason for the token formatters create() method to work   with such complex data. This patch ensures that token formatters only   see primitive strings (of datetimes, audit IDs, and trust IDs) when   creating tokens, which they're free to encode however they wish.  - The handling of audit_ids is simplified (they're not mutated any more   than strictly necessary).  - This removes the expiration timestamp embedded in Fernet tokens in   favor of using key rotation to tune the lifespan of Fernet tokens.  - This removes the creation timestamp from the token's payload in favor   of extracting the token's creation timestamp from the Fernet token   format itself.  - This moves the payload version (part of the plaintext token prefix)   into the integrity verified portion of the token (the payload). This   also drops the 'F', which doesn't serve a purpose with Fernet tokens   as it does with token formats that can be validated offline (PKI,   PKIZ). This requires a bunch of refactoring to move the responsibility   of decrypting, unpacking, and disassembling the payload contents to   the caller (the Provider).  - Add a domain-scoped payload format, identical to that for   project-scoped tokens, just with a different version number. Better   functional tests revealed that tests intended to exercise   domain-scoped Fernet tokens, which didn't exist, should not have been   passing.  - Remove remaining functional tests from the unit test suite   (test_fernet_provider), and ensure that same coverage exists in the   actual functional test suite (test_v3_auth). Several of the unit tests   required heavy refactoring due to the refactoring required to support   the first item above, so it was easier just to dump those tests in   favor of better functional test coverage, which are agnostic to the   implementation details.  Change-Id: Ibbfeb1c035eccf25e4e62577ae7887822cd58254 Closes-Bug: 1427485 Closes-Bug: 1428949 Closes-Bug: 1428829 Closes-Bug: 1428708",testing,,,,,,
openstack%2Fkeystone~master~Ibbfeb1c035eccf25e4e62577ae7887822cd58254,https://review.opendev.org/162196,Refactor Fernet: drop timestamps and move payload version into payload,"Refactor Fernet: drop timestamps and move payload version into payload  This is a squashed commit consisting of the following changes:  - https://review.openstack.org/#/c/161838/ - https://review.openstack.org/#/c/161855/ - https://review.openstack.org/#/c/161876/ - https://review.openstack.org/#/c/161774/ - https://review.openstack.org/#/c/161897/ - https://review.openstack.org/#/c/162031/  Net summary of changes:  - Remove token formatters dependency on 'token_data', the v3 token data   helper, and the trust_api. The calling module already has to interface   with all these modules and understand how token_data is composed, so   there's no reason for the token formatters create() method to work   with such complex data. This patch ensures that token formatters only   see primitive strings (of datetimes, audit IDs, and trust IDs) when   creating tokens, which they're free to encode however they wish.  - The handling of audit_ids is simplified (they're not mutated any more   than strictly necessary).  - This removes the expiration timestamp embedded in Fernet tokens in   favor of using key rotation to tune the lifespan of Fernet tokens.  - This removes the creation timestamp from the token's payload in favor   of extracting the token's creation timestamp from the Fernet token   format itself.  - This moves the payload version (part of the plaintext token prefix)   into the integrity verified portion of the token (the payload). This   also drops the 'F', which doesn't serve a purpose with Fernet tokens   as it does with token formats that can be validated offline (PKI,   PKIZ). This requires a bunch of refactoring to move the responsibility   of decrypting, unpacking, and disassembling the payload contents to   the caller (the Provider).  - Add a domain-scoped payload format, identical to that for   project-scoped tokens, just with a different version number. Better   functional tests revealed that tests intended to exercise   domain-scoped Fernet tokens, which didn't exist, should not have been   passing.  - Remove remaining functional tests from the unit test suite   (test_fernet_provider), and ensure that same coverage exists in the   actual functional test suite (test_v3_auth). Several of the unit tests   required heavy refactoring due to the refactoring required to support   the first item above, so it was easier just to dump those tests in   favor of better functional test coverage, which are agnostic to the   implementation details.  Change-Id: Ibbfeb1c035eccf25e4e62577ae7887822cd58254 Closes-Bug: 1427485 Closes-Bug: 1428949 Closes-Bug: 1428829 Closes-Bug: 1428708",quality,,,,,,
openstack%2Fkeystone~master~Ibbfeb1c035eccf25e4e62577ae7887822cd58254,https://review.opendev.org/162196,Refactor Fernet: drop timestamps and move payload version into payload,"Refactor Fernet: drop timestamps and move payload version into payload  This is a squashed commit consisting of the following changes:  - https://review.openstack.org/#/c/161838/ - https://review.openstack.org/#/c/161855/ - https://review.openstack.org/#/c/161876/ - https://review.openstack.org/#/c/161774/ - https://review.openstack.org/#/c/161897/ - https://review.openstack.org/#/c/162031/  Net summary of changes:  - Remove token formatters dependency on 'token_data', the v3 token data   helper, and the trust_api. The calling module already has to interface   with all these modules and understand how token_data is composed, so   there's no reason for the token formatters create() method to work   with such complex data. This patch ensures that token formatters only   see primitive strings (of datetimes, audit IDs, and trust IDs) when   creating tokens, which they're free to encode however they wish.  - The handling of audit_ids is simplified (they're not mutated any more   than strictly necessary).  - This removes the expiration timestamp embedded in Fernet tokens in   favor of using key rotation to tune the lifespan of Fernet tokens.  - This removes the creation timestamp from the token's payload in favor   of extracting the token's creation timestamp from the Fernet token   format itself.  - This moves the payload version (part of the plaintext token prefix)   into the integrity verified portion of the token (the payload). This   also drops the 'F', which doesn't serve a purpose with Fernet tokens   as it does with token formats that can be validated offline (PKI,   PKIZ). This requires a bunch of refactoring to move the responsibility   of decrypting, unpacking, and disassembling the payload contents to   the caller (the Provider).  - Add a domain-scoped payload format, identical to that for   project-scoped tokens, just with a different version number. Better   functional tests revealed that tests intended to exercise   domain-scoped Fernet tokens, which didn't exist, should not have been   passing.  - Remove remaining functional tests from the unit test suite   (test_fernet_provider), and ensure that same coverage exists in the   actual functional test suite (test_v3_auth). Several of the unit tests   required heavy refactoring due to the refactoring required to support   the first item above, so it was easier just to dump those tests in   favor of better functional test coverage, which are agnostic to the   implementation details.  Change-Id: Ibbfeb1c035eccf25e4e62577ae7887822cd58254 Closes-Bug: 1427485 Closes-Bug: 1428949 Closes-Bug: 1428829 Closes-Bug: 1428708",objective,,,,,,
openstack%2Fhorizon~master~I1f1054d963101298d9e4f3e0b9c6f8df0d29227d,https://review.opendev.org/159224,Refactoring the rest tests and their tooling,"Refactoring the rest tests and their tooling  There will be a need for session and role information in these test as the code and tests get more complicated. I don't feel, at this point, there is a need for a new test case class for these tests.  Also, the utils in the api_tests directory is really confusing. So, rolled that into the base test class in helpers.py  Change-Id: I1f1054d963101298d9e4f3e0b9c6f8df0d29227d",testing,,,,,,
openstack%2Fhorizon~master~I1f1054d963101298d9e4f3e0b9c6f8df0d29227d,https://review.opendev.org/159224,Refactoring the rest tests and their tooling,"Refactoring the rest tests and their tooling  There will be a need for session and role information in these test as the code and tests get more complicated. I don't feel, at this point, there is a need for a new test case class for these tests.  Also, the utils in the api_tests directory is really confusing. So, rolled that into the base test class in helpers.py  Change-Id: I1f1054d963101298d9e4f3e0b9c6f8df0d29227d",objective,,,,,,
openstack%2Fhorizon~master~I1f1054d963101298d9e4f3e0b9c6f8df0d29227d,https://review.opendev.org/159224,Refactoring the rest tests and their tooling,"Refactoring the rest tests and their tooling  There will be a need for session and role information in these test as the code and tests get more complicated. I don't feel, at this point, there is a need for a new test case class for these tests.  Also, the utils in the api_tests directory is really confusing. So, rolled that into the base test class in helpers.py  Change-Id: I1f1054d963101298d9e4f3e0b9c6f8df0d29227d",quality,,,,,,
openstack%2Fneutron~master~I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9,https://review.opendev.org/153785,Refactor RootHelperProcess with AsyncProcess,"Refactor RootHelperProcess with AsyncProcess  * move RootHelperProcess from functional test to common lib so we can re-use in another cases outside of functional test, i.e. sanity test * RootHelperProcess and AsyncProcess have similar functions so I merge all functions of RootHelperProcess to AsyncProcess. * add optional param wait_cmd_start (default to False) for AsyncProcess to wait for the command of the child process to start executing before it can return to main process (and wait for the result asynchronous)  Change-Id: I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9",testing,,,,,,
openstack%2Fneutron~master~I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9,https://review.opendev.org/153785,Refactor RootHelperProcess with AsyncProcess,"Refactor RootHelperProcess with AsyncProcess  * move RootHelperProcess from functional test to common lib so we can re-use in another cases outside of functional test, i.e. sanity test * RootHelperProcess and AsyncProcess have similar functions so I merge all functions of RootHelperProcess to AsyncProcess. * add optional param wait_cmd_start (default to False) for AsyncProcess to wait for the command of the child process to start executing before it can return to main process (and wait for the result asynchronous)  Change-Id: I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9",objective,,,,,,
openstack%2Fneutron~master~I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9,https://review.opendev.org/153785,Refactor RootHelperProcess with AsyncProcess,"Refactor RootHelperProcess with AsyncProcess  * move RootHelperProcess from functional test to common lib so we can re-use in another cases outside of functional test, i.e. sanity test * RootHelperProcess and AsyncProcess have similar functions so I merge all functions of RootHelperProcess to AsyncProcess. * add optional param wait_cmd_start (default to False) for AsyncProcess to wait for the command of the child process to start executing before it can return to main process (and wait for the result asynchronous)  Change-Id: I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9",quality,,,,,,
openstack%2Fneutron~master~I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9,https://review.opendev.org/153785,Refactor RootHelperProcess with AsyncProcess,"Refactor RootHelperProcess with AsyncProcess  * move RootHelperProcess from functional test to common lib so we can re-use in another cases outside of functional test, i.e. sanity test * RootHelperProcess and AsyncProcess have similar functions so I merge all functions of RootHelperProcess to AsyncProcess. * add optional param wait_cmd_start (default to False) for AsyncProcess to wait for the command of the child process to start executing before it can return to main process (and wait for the result asynchronous)  Change-Id: I0a9063d8a233d48a3ed59e4f70b47cb5fb4d41f9",objective,,,,,,
openstack%2Fneutron~master~I64ba630997841b2dddc4535fdd464bc15dd38b77,https://review.opendev.org/122560,Refactor unit test helpers to return objects,"WIP: Refactor unit test helpers to return objects  Make the return value from the port, network, and subnet creation methods in the unit tests return something with helper methods to manage the lifecycle of each item more concisely.  Refactors the tests in test_db_plugin to leverage these new objects.  Change-Id: I64ba630997841b2dddc4535fdd464bc15dd38b77",testing,,,,,,
openstack%2Fneutron~master~I64ba630997841b2dddc4535fdd464bc15dd38b77,https://review.opendev.org/122560,Refactor unit test helpers to return objects,"WIP: Refactor unit test helpers to return objects  Make the return value from the port, network, and subnet creation methods in the unit tests return something with helper methods to manage the lifecycle of each item more concisely.  Refactors the tests in test_db_plugin to leverage these new objects.  Change-Id: I64ba630997841b2dddc4535fdd464bc15dd38b77",objective,,,,,,
openstack%2Fnova~master~I5a12324e3e20def222842545f8b0fb488a363b4c,https://review.opendev.org/89634,Xenapi: refactor _find_vdi_refs and lookup_vm_vdis,"Xenapi: refactor _find_vdi_refs and lookup_vm_vdis  The two functions look to be doing the same thing and we really don't need two implementations.  This change works to remove the lookup_vm_vdis implementation, but keep it's name.  Test cases are adjusted to handle passing dictionary instead or list.  Change-Id: I5a12324e3e20def222842545f8b0fb488a363b4c Closes-bug: 1311197",testing,,,,,,
openstack%2Fnova~master~I5a12324e3e20def222842545f8b0fb488a363b4c,https://review.opendev.org/89634,Xenapi: refactor _find_vdi_refs and lookup_vm_vdis,"Xenapi: refactor _find_vdi_refs and lookup_vm_vdis  The two functions look to be doing the same thing and we really don't need two implementations.  This change works to remove the lookup_vm_vdis implementation, but keep it's name.  Test cases are adjusted to handle passing dictionary instead or list.  Change-Id: I5a12324e3e20def222842545f8b0fb488a363b4c Closes-bug: 1311197",objective,,,,,,
openstack%2Fnova~master~I4072295497627549e3e78a03a420d47b18156d6c,https://review.opendev.org/123552,Refactoring some libvirt tests to use mock,Refactoring some libvirt tests to use mock  Test Case: nova.tests.virt.libvirt.test_driver.LibvirtConnTestCase  Tests: test_hard_reboot test_resume test_finish_migration_power_on test_finish_migration_power_off test_finish_revert_migration_after_crash test_finish_revert_migration_after_crash_before_backup test_finish_revert_migration_after_crash_delete_failed  Partial-Bug 1370590  Change-Id: I4072295497627549e3e78a03a420d47b18156d6c,testing,,,,,,
openstack%2Ftempest~master~I8be2f4bec5eb4cdf0efcbbd26ce090501b8e8c30,https://review.opendev.org/106916,Sample of refactoring test code for a retargetable client,"Sample of refactoring test code for a retargetable client  The goal is to move the following out of tests into the client: 1. validation 2. serialize/deserialize 3. resource management using addCleanUp  The client will return an object as an attribute dict so members can be access with instance variable syntax.  This change allows an abstract definition of the client interface which will allow decoupling of ""where the tests live"" and ""what client is used"". Clients might be a tempest client, official client, or direct API calls to a project.  Change-Id: I8be2f4bec5eb4cdf0efcbbd26ce090501b8e8c30",testing,,,,,,
openstack%2Ftempest~master~I8be2f4bec5eb4cdf0efcbbd26ce090501b8e8c30,https://review.opendev.org/106916,Sample of refactoring test code for a retargetable client,"Sample of refactoring test code for a retargetable client  The goal is to move the following out of tests into the client: 1. validation 2. serialize/deserialize 3. resource management using addCleanUp  The client will return an object as an attribute dict so members can be access with instance variable syntax.  This change allows an abstract definition of the client interface which will allow decoupling of ""where the tests live"" and ""what client is used"". Clients might be a tempest client, official client, or direct API calls to a project.  Change-Id: I8be2f4bec5eb4cdf0efcbbd26ce090501b8e8c30",objective,,,,,,
openstack%2Ftempest~master~I8be2f4bec5eb4cdf0efcbbd26ce090501b8e8c30,https://review.opendev.org/106916,Sample of refactoring test code for a retargetable client,"Sample of refactoring test code for a retargetable client  The goal is to move the following out of tests into the client: 1. validation 2. serialize/deserialize 3. resource management using addCleanUp  The client will return an object as an attribute dict so members can be access with instance variable syntax.  This change allows an abstract definition of the client interface which will allow decoupling of ""where the tests live"" and ""what client is used"". Clients might be a tempest client, official client, or direct API calls to a project.  Change-Id: I8be2f4bec5eb4cdf0efcbbd26ce090501b8e8c30",quality,,,,,,
openstack%2Fcongress~master~I3dea8f576fcdba1a881b071264d5f300f86dcd15,https://review.opendev.org/530154,WIP: refactor glance tempest test,WIP: refactor glance tempest test  To make checking of data table against service data more reusable.  Change-Id: I3dea8f576fcdba1a881b071264d5f300f86dcd15,testing,,,,,,
openstack%2Fcongress~master~I3dea8f576fcdba1a881b071264d5f300f86dcd15,https://review.opendev.org/530154,WIP: refactor glance tempest test,WIP: refactor glance tempest test  To make checking of data table against service data more reusable.  Change-Id: I3dea8f576fcdba1a881b071264d5f300f86dcd15,quality,,,,,,
openstack%2Fnova~master~I4717709bd21f386d43664fc08facb8b92b37070b,https://review.opendev.org/119012,Refactor test cases of test_floating_ip_dnsto simple code,Refactor test cases of test_floating_ip_dnsto simple code  This is some preparation works to make sharing unittests between V2.1 and V2 easier.  Change-Id: I4717709bd21f386d43664fc08facb8b92b37070b,testing,,,,,,
openstack%2Fnova~master~I4717709bd21f386d43664fc08facb8b92b37070b,https://review.opendev.org/119012,Refactor test cases of test_floating_ip_dnsto simple code,Refactor test cases of test_floating_ip_dnsto simple code  This is some preparation works to make sharing unittests between V2.1 and V2 easier.  Change-Id: I4717709bd21f386d43664fc08facb8b92b37070b,objective,,,,,,
opendev%2Fyaml2ical~master~I99a70736574f20634e25ed0600be7d0ef990e7fb,https://review.opendev.org/97038,Refactor Schedule class,"Refactor Schedule class  Instead of having a list of Schedule objects in every Meeting object, lets just keep the dictionary that we get from parsing the YAML file and store that in an attribute of the Meeting object. Added test for validating datetime, and mocked out the datetime module.  Change-Id: I99a70736574f20634e25ed0600be7d0ef990e7fb",testing,,,,,,
opendev%2Fyaml2ical~master~I99a70736574f20634e25ed0600be7d0ef990e7fb,https://review.opendev.org/97038,Refactor Schedule class,"Refactor Schedule class  Instead of having a list of Schedule objects in every Meeting object, lets just keep the dictionary that we get from parsing the YAML file and store that in an attribute of the Meeting object. Added test for validating datetime, and mocked out the datetime module.  Change-Id: I99a70736574f20634e25ed0600be7d0ef990e7fb",objective,,,,,,
opendev%2Fsystem-config~master~Iade29ef5c1b3979e6497c7ddd6ef407adbcdb4cd,https://review.opendev.org/108411,Refactoring Trove gates jobs,Refactoring Trove gates jobs  Reasons:  - All Trove gate jobs should be moved under job-groups    to allocation all possible future modifications aroung on trove.yaml  Changes:  - implementing two groups job groups:    - gate-trove-functional-dsvm-test-group -- covers non-heat and heat      test jobs templates for different datastores;    - gate-trove-buildimage-group -- covers image publishing jobs for datastores  Change-Id: Iade29ef5c1b3979e6497c7ddd6ef407adbcdb4cd,testing,,,,,,
opendev%2Fsystem-config~master~Iade29ef5c1b3979e6497c7ddd6ef407adbcdb4cd,https://review.opendev.org/108411,Refactoring Trove gates jobs,Refactoring Trove gates jobs  Reasons:  - All Trove gate jobs should be moved under job-groups    to allocation all possible future modifications aroung on trove.yaml  Changes:  - implementing two groups job groups:    - gate-trove-functional-dsvm-test-group -- covers non-heat and heat      test jobs templates for different datastores;    - gate-trove-buildimage-group -- covers image publishing jobs for datastores  Change-Id: Iade29ef5c1b3979e6497c7ddd6ef407adbcdb4cd,objective,,,,,,
